xid,name,rate,osm,wikidata,kinds,longitude,latitude,country
N1005016071,Devant le Palais universitaire (Krutenau),7.0,node/1005016071,Q3361224,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",7.76088,48.5853,France
N1005016227,Angle des ponts couverts et de la rue du Cygne (Centre),7.0,node/1005016227,Q3397780,"bridges,architecture,interesting_places,other_bridges",7.7402,48.5791,France
N1005016288,Rue Sainte-Madeleine (Krutenau),7.0,node/1005016288,Q692407,"religion,churches,interesting_places,other_churches",7.75382,48.5797,France
N1005746419,San Carlos,1.0,node/1005746419,-1,"religion,other_temples,interesting_places",-78.5157,-0.220784,Ecuador
N1007724138,Cumalıkızık,7.0,node/1007724138,Q1897419,"historic,historical_places,interesting_places,historic_districts,historic_settlements",29.1727,40.1752,Turquía
N1009907749,Eagle River Lighthouse,7.0,node/1009907749,Q5325236,"lighthouses,architecture,towers,interesting_places,other_towers",-88.2985,47.4136,United States
N1010095316,Ateni Sioni Church,7.0,node/1010095316,Q247960,"religion,churches,interesting_places,other_churches",44.0959,41.9039,Geogia
N1011407261,72nd Street,7.0,node/1011407261,Q2887299,"railway_stations,industrial_facilities,interesting_places",-73.9819,40.779,United States
N1011833744,Point Iroquois Lighthouse,7.0,node/1011833744,Q7208048,"lighthouses,architecture,towers,interesting_places,other_towers",-84.6324,46.4843,United States
N1020504876,Barbrook One,7.0,node/1020504876,Q14949367,"megaliths,historic,archaeology,interesting_places",-1.5837,53.2765,United Kingdom
N102660236,Mirador Castillo Wolff,7.0,node/102660236,Q8039164,"view_points,other,fortifications,historic,monuments_and_memorials,interesting_places,castles,monuments",-71.565,-33.0194,Chile
N1029975195,Schloss Zigguln,7.0,node/1029975195,Q2244321,"fortifications,historic,interesting_places,castles",14.2918,46.6352,Austria
N1033002391,Wat Ratcha-orasaram,7.0,node/1033002391,Q1519293,"religion,buddhist_temples,interesting_places",100.466,13.7029,Tailandia
N1034877297,Fort King Chulalongkorn,7.0,node/1034877297,Q16304373,"fortifications,historic,archaeology,interesting_places,other_fortifications,other_archaeological_sites",100.584,13.5378,Tailandia
N1038357043,Sunehri Masjid,7.0,node/1038357043,Q16900896,"religion,mosques,interesting_places",77.2396,28.6505,India
N1046051207,Bath Spa Station,7.0,node/1046051207,Q637185,"railway_stations,industrial_facilities,interesting_places",-2.35677,51.3778,United Kingdom
N1048964926,Sawley Abbey,7.0,node/1048964926,Q2228344,"religion,architecture,historic_architecture,historic,monasteries,archaeology,interesting_places,destroyed_objects,other_archaeological_sites",-2.34163,53.9135,United Kingdom
N1052304324,Museo del Santuario de La Virgen Del Agua Santa,1.0,node/1052304324,-1,"cultural,museums,interesting_places,other_museums",-78.4209,-1.39733,Ecuador
