xid,name,rate,osm,wikidata,kinds,point.lon,point.lat
N1932672579,"Château de la Roche, Doubs",7,node/1932672579,Q2969580,"fortifications,historic,interesting_places,castles",6.191694736480713,47.4010009765625
W188045244,Château de Fondremand,7,way/188045244,Q15944006,"fortifications,historic,interesting_places,castles",6.025278568267822,47.475318908691406
N4829316090,Château de Vellefaux,7,node/4829316090,Q15944083,"architecture,historic_architecture,fortifications,historic,interesting_places,manor_houses,castles",6.138769626617432,47.55245590209961
N4959522000,Ferme de Laine,7,node/4959522000,Q13518204,"architecture,historic_architecture,interesting_places,farms",6.193767547607422,47.498844146728516
N431575058,Château de Filain,7,node/431575058,Q2420868,"fortifications,historic,interesting_places,castles",6.184800624847412,47.517765045166016
N2468131401,Montby,7,node/2468131401,Q2969962,"fortifications,historic,historical_places,interesting_places,castles,historic_settlements",6.441929817199707,47.43871307373047
N2468131394,Château de Montby,7,node/2468131394,Q2969962,"fortifications,historic,interesting_places,castles",6.443851470947266,47.43862533569336
W211446300,Chalet Meiner,7,way/211446300,Q2947811,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",6.572155475616455,47.44535446166992
N4142995384,Croix de cimetière de Chamesol,7,node/4142995384,Q3003476,"religion,other_temples,interesting_places",6.835381507873535,47.3471794128418
N2463554647,Croix de Chemin,7,node/2463554647,Q13518529,"religion,other_temples,interesting_places",6.988943576812744,47.64901351928711
N1643188023,Miécourt,7,node/1643188023,Q668794,"historic,historical_places,interesting_places,historic_settlements",7.174762725830078,47.427093505859375
N5548936223,La Tour-Rouge,7,node/5548936223,Q3330626,"architecture,historic_architecture,cultural,museums,interesting_places,history_museums,restaurants,foods,art_galleries,tourist_facilities,other_buildings_and_structures",7.341358184814453,47.363624572753906
N4195581797,Ruins of the Vorbourg,7,node/4195581797,Q2971852,"fortifications,historic,archaeology,interesting_places,castles,other_archaeological_sites",7.356749057769775,47.379764556884766
W134568359,Ruins of the Vorbourg,7,way/134568359,Q2971852,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.355885982513428,47.379878997802734
N4195581798,Vorbourg,7,node/4195581798,Q2971852,"architecture,historic_architecture,fortifications,historic,interesting_places,castles,restaurants,foods,tourist_facilities,other_buildings_and_structures",7.354796409606934,47.381507873535156
N2448087406,Ancien prieuré du Löwenburg,7,node/2448087406,Q1659306,"religion,architecture,historic_architecture,fortifications,historic,monasteries,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",7.3139801025390625,47.43400955200195
W55417346,Alt Falkenstein,7,way/55417346,Q1010707,"fortifications,historic,interesting_places,castles",7.690558433532715,47.306976318359375
N6785071973,Ruine Alt-Biederthal,7,node/6785071973,Q2175180,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.4364519119262695,47.456146240234375
W163491850,Schloss Biederthal,7,way/163491850,Q745681,"fortifications,historic,interesting_places,castles",7.440704345703125,47.456817626953125
N8971657238,Gilgenberg,7,node/8971657238,Q2175270,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.606289863586426,47.383216857910156
N1163203519,Ruine Gilgenberg,7,node/1163203519,Q2175270,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.60819149017334,47.38224792480469
N4880954646,Couvent d'Oelenberg,7,node/4880954646,Q334089,"religion,monasteries,interesting_places",7.2135210037231445,47.745948791503906
N4827784517,Ruins Münchsberg,7,node/4827784517,Q2175360,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",7.572251319885254,47.46202850341797
N1662718950,Fontaine publique,7,node/1662718950,Q14628611,"fountains,historic,monuments_and_memorials,urban_environment,cultural,interesting_places,sculptures,monuments",7.387625217437744,47.68330764770508
N30785294,Aarburg,7,node/30785294,Q64165,"historic,historical_places,interesting_places,historic_settlements",7.899359703063965,47.320640563964844
W26846154,Stadtturm,7,way/26846154,Q29881153,"towers,architecture,interesting_places,other_towers",7.903807640075684,47.34952163696289
N3854087341,Olten,7,node/3854087341,Q29370,"railway_stations,industrial_facilities,interesting_places",7.906330585479736,47.35166549682617
N636798044,Olten,7,node/636798044,Q29370,"railway_stations,industrial_facilities,interesting_places",7.907521724700928,47.35193634033203
W60174110,Ruine Froburg,7,way/60174110,Q339236,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",7.889871597290039,47.37938690185547
N414919026,Ruine Froburg,7,node/414919026,Q339236,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",7.89009952545166,47.37881851196289
W56230412,Alt-Wartburg,7,way/56230412,Q433002,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",7.919024467468262,47.33328628540039
N240037593,Wölflinswil,7,node/240037593,Q66442,"historic,historical_places,interesting_places,historic_settlements",7.997653484344482,47.460819244384766
N240047004,Biberstein,7,node/240047004,Q64491,"historic,historical_places,interesting_places,historic_settlements",8.082115173339844,47.414066314697266
N736649042,Ruine Urgiz,7,node/736649042,Q2175475,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",8.051904678344727,47.46061706542969
N736649414,Burgruine Urgiz,7,node/736649414,Q2175475,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",8.05179500579834,47.46051025390625
N1102444727,Schloss Hilfikon,7,node/1102444727,Q2241557,"religion,fortifications,historic,churches,interesting_places,castles,other_churches",8.246909141540527,47.33072280883789
W64443136,Heilig-Kreuzkapelle,7,way/64443136,Q1423995,"religion,churches,interesting_places,other_churches",8.3408203125,47.459835052490234
N601484095,Ruine Kindhausen,7,node/601484095,Q2175329,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",8.366162300109863,47.39018630981445
N432633740,Ruine Glanzenberg,7,node/432633740,Q1404210,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",8.422131538391113,47.40217208862305
N429303755,Ruine ehemalige Stadt Glanzenberg,7,node/429303755,Q1404210,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",8.417984008789062,47.4012451171875
N2667393495,Brugg,7,node/2667393495,Q29575877,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.206803321838379,47.48403549194336
W327287701,AVIA-Tankstelle Bahnhof-Garage Koblenz,7,way/327287701,Q801024,"railway_stations,industrial_facilities,architecture,historic_architecture,interesting_places,transport,fuel,tourist_facilities,other_buildings_and_structures",8.22619915008545,47.60008239746094
N7285211915,Koblenz,7,node/7285211915,Q801024,"railway_stations,industrial_facilities,interesting_places",8.226628303527832,47.60047149658203
N3080695746,Koblenz,7,node/3080695746,Q801024,"railway_stations,industrial_facilities,interesting_places",8.226995468139648,47.60034942626953
N1297478715,Gluuri Suter Huus,7,node/1297478715,Q15616596,"cultural,theatres_and_entertainments,interesting_places,other_theatres",8.330595970153809,47.466163635253906
N240113937,Lengnau AG,7,node/240113937,Q69429,"historic,historical_places,interesting_places,historic_settlements",8.330138206481934,47.521080017089844
N391447133,St. Blasien,7,node/391447133,Q1236546,"religion,churches,interesting_places,other_churches",8.128698348999023,47.76152801513672
W571122833,Schloss Grüningen,7,way/571122833,Q2241325,"fortifications,historic,interesting_places,castles",8.76176643371582,47.284671783447266
N1270323047,Zurich Wiedikon railway station,7,node/1270323047,Q679393,"railway_stations,industrial_facilities,interesting_places",8.523064613342285,47.37171173095703
N663452089,Höchhus Küsnacht,7,node/663452089,Q1643193,"dive_spots,diving,sport,architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.577980041503906,47.320220947265625
N7639797575,Höchhus Küsnacht,7,node/7639797575,Q1643193,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.57849407196045,47.31885528564453
N8528335742,Höchhus Küsnacht,7,node/8528335742,Q1643193,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.580227851867676,47.31884765625
N7639820801,Höchhus Küsnacht,7,node/7639820801,Q1643193,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.580411911010742,47.31900405883789
N4199335193,UBS,7,node/4199335193,Q1643193,"architecture,historic_architecture,interesting_places,banks,bank,tourist_facilities,other_buildings_and_structures",8.581708908081055,47.31917190551758
N1585424860,Burgruine Wulp,7,node/1585424860,Q1551542,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",8.60571002960205,47.32158279418945
W44758277,Bürgli,7,way/44758277,Q33299562,"architecture,historic_architecture,interesting_places,manor_houses",8.528726577758789,47.362125396728516
N419543402,,7,node/419543402,Q1394,"historic,monuments_and_memorials,interesting_places,monuments",8.544944763183594,47.37197494506836
N2402943740,Wellenau,7,node/2402943740,Q56188951,"historic,historical_places,interesting_places,historic_settlements",8.906122207641602,47.365264892578125
N2260257903,Rüdberg castle ruin,7,node/2260257903,Q29786711,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",9.08829402923584,47.34977340698242
N8824592455,Rüdberg castle ruin,7,node/8824592455,Q29786711,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",9.088973999023438,47.34973907470703
N1330676298,Winterthur Wülflingen railway station,7,node/1330676298,Q801620,"railway_stations,industrial_facilities,interesting_places",8.680964469909668,47.5064582824707
N8170512250,Winterthur Wülflingen railway station,7,node/8170512250,Q801620,"railway_stations,industrial_facilities,interesting_places",8.68132209777832,47.50634002685547
N5642553765,Schloss Schwandegg,7,node/5642553765,Q1325353,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",8.776681900024414,47.62346649169922
N4230329228,Schloss Schwandegg,7,node/4230329228,Q1325353,"fortifications,historic,interesting_places,castles",8.77680778503418,47.623226165771484
N2548423246,Moser Familienmuseum Charlottenfels,7,node/2548423246,Q23784049,"architecture,historic_architecture,cultural,museums,interesting_places,manor_houses,other_museums",8.621394157409668,47.69050979614258
N4767011521,Fels Schweizersbild,7,node/4767011521,Q2256725,"sport,historic,archaeology,interesting_places,other_archaeological_sites,climbing",8.640363693237305,47.723846435546875
N4990332358,Schweizersbild,7,node/4990332358,Q2256725,"historic,archaeology,interesting_places,other_archaeological_sites",8.640591621398926,47.7234992980957
W398707708,Stählibuckturm,7,way/398707708,Q1613372,"view_points,other,towers,architecture,interesting_places,observation_towers",8.939556121826172,47.548828125
N6046432829,Stählibuckturm,7,node/6046432829,Q1613372,"towers,architecture,interesting_places,observation_towers",8.939584732055664,47.54877471923828
N7600262083,Dreibrunnen,7,node/7600262083,Q29524111,"religion,churches,interesting_places,catholic_churches",9.025593757629395,47.47105026245117
N297007116,Ruine Wolkenstein,7,node/297007116,Q2175501,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",8.838079452514648,47.680179595947266
N55203802,Ramsen,7,node/55203802,Q69182,"historic,historical_places,interesting_places,historic_settlements",8.811546325683594,47.70684051513672
W204686299,Schloss Salenstein,7,way/204686299,Q2243300,"fortifications,historic,interesting_places,castles",9.055607795715332,47.669673919677734
N1642946489,Burgruine Alt-Montfort,7,node/1642946489,Q15051232,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",9.666010856628418,47.31175994873047
N2507443665,Kehlhof,7,node/2507443665,Q29882554,"railway_stations,industrial_facilities,interesting_places",9.169732093811035,47.572330474853516
N5064311439,Roggwil,7,node/5064311439,Q29883259,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",9.39551830291748,47.499576568603516
N4620650157,"Arbon, Bahnhof",7,node/4620650157,Q15964072,"railway_stations,industrial_facilities,interesting_places",9.431986808776855,47.5111198425293
N1354779312,Arbon,7,node/1354779312,Q15964072,"railway_stations,industrial_facilities,interesting_places",9.433444023132324,47.51059341430664
N494399816,Arbon,7,node/494399816,Q15964072,"railway_stations,industrial_facilities,interesting_places",9.434355735778809,47.5108528137207
W638886635,Schloss Wartegg,7,way/638886635,Q1595081,"fortifications,historic,urban_environment,gardens_and_parks,cultural,interesting_places,castles",9.529488563537598,47.47780990600586
W325910099,PHSG Mariaberg,7,way/325910099,Q8987498,"religion,monasteries,interesting_places",9.495099067687988,47.47194290161133
W330914775,Schloss Wartensee,7,way/330914775,Q1802932,"fortifications,historic,interesting_places,castles",9.530794143676758,47.47166061401367
N394928741,Wartensee,7,node/394928741,Q1802932,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",9.530850410461426,47.471046447753906
N8889724641,Altsummerau,7,node/8889724641,Q2175196,"architecture,historic_architecture,fortifications,historic,interesting_places,destroyed_objects,castles",9.640860557556152,47.62803649902344
N8603307674,Kanonissenstift Lindau,7,node/8603307674,Q1959139,"religion,churches,interesting_places,other_churches",9.68791389465332,47.5470085144043
N747195137,Spohn-Gymnasium,7,node/747195137,Q2311893,"architecture,historic_architecture,interesting_places,other_buildings_and_structures",9.620296478271484,47.78541946411133
N329435871,Frauentor,7,node/329435871,Q2133657,"towers,architecture,fortifications,defensive_walls,historic,interesting_places,other_towers,fortified_towers",9.833588600158691,47.68776321411133
W610588701,Stofel,7,way/610588701,Q15822749,"religion,churches,interesting_places,other_churches",9.866674423217773,47.28278732299805
W122822820,"Kapelle ""Maria Hilf""",7,way/122822820,Q15815648,"religion,churches,interesting_places,other_churches",10.171666145324707,47.34381866455078
N2187020333,Oflings,7,node/2187020333,Q1013418,"fortifications,historic,interesting_places,castles",9.845823287963867,47.70669937133789
N2940973544,Bergkapelle Ellmeney,7,node/2940973544,Q14537032,"religion,churches,interesting_places,other_churches",10.089404106140137,47.74385070800781
W302320544,Ruine Fluhenstein,7,way/302320544,Q1011731,"architecture,historic_architecture,fortifications,historic,archaeology,interesting_places,destroyed_objects,castles,other_archaeological_sites",10.301401138305664,47.51760482788086
